ฝันเห็นกก | การงาน: ไม่ชัดเจน | ความรัก: ฝันเห็นต้นกก ทำนายว่า อาจจะเข้าไปอยู่ในสถานการณ์ที่มีคนทะเลาะเบาะแว้งกัน และจะต้องเป็นคนกลางในการไกล่เกลี่ยความขัดแย้งที่เกิดขึ้น หรืออีกแง่หนึ่งจะได้เป็นคนกลางในการช่วยให้คู่รักที่ทะเลาะกันได้ปรับความเข้าใจกันอีกครั้ง | เลขเด็ด: ไม่ระบุ
ฝันเห็นแก้วน้ำ | การงาน: ฝันเห็นแก้วน้ำ หรือฝันว่าจับแก้วน้ำไว้ในมือ ทำนายได้ว่า ระยะนี้จะเป็นช่วงเวลาที่ดีของชีวิต จะมีโชคลาภในทุกๆด้าน มีโชคในเรื่องของเงินทอง จะหยิบจับค้าขายอะไรก็ประสบผลสำเร็จ รวมทั้งจะมีชื่อเสียงเป็นที่รู้จัก ได้รับยศถาบรรดาศักดิ์ต่างๆ จะมีความสุขใจเป็นอย่างมาก | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นโกนผม | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นโกรธ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นโกศ | การงาน: ฝันเห็นโกศศพในงานพิธีต่างๆ หรือโกศใส่กระดูก ทำนายว่า จะได้ลาภข้าวของเงินทอง จากญาติผู้ใหญ่ หรืออาจจะได้เงินทองจากมรดกญาติพี่น้อง | ความรัก: ไม่ชัดเจน | เลขเด็ด: 41 , 42 , 91 , 114 , 119 , 412 , 409
ฝันเห็นไก่ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 11 , 17 , 16 , 671 , 117 , 119
ฝันเห็นดอกบัว | การงาน: ฝันเห็นดอกบัวขาวกลางสระ หรือได้เด็ดดอกบัวขาว  ทำนายว่า หญิงมีครรภ์จะได้บุตรชายน่ารัก หรือมิฉะนั้น จะได้ลาภยศหรือหน้าที่การงานดีขึ้น | ความรัก: ฝันเห็นดอกบัวขาวกลางสระ หรือได้เด็ดดอกบัวขาว  ทำนายว่า หญิงมีครรภ์จะได้บุตรชายน่ารัก หรือมิฉะนั้น จะได้ลาภยศหรือหน้าที่การงานดีขึ้น | เลขเด็ด: 21 , 29 , 99 , 291 , 298 , 299
ฝันเห็นร่ม | การงาน: หญิงชายใดฝันว่า ได้กางร่ม หรืออยู่ใต้ร่มเงาไม้ใหญ่  ทำนายว่า ผู้ใหญ่จะช่วยเหลือเรื่องการเงินและการงาน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 19 , 29 , 329 , 219 , 289
ฝันเห็นขน | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 36 , 38 , 136 , 138 , 638
ฝันเห็นขนตา | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 36 , 38 , 136 , 138 , 638
ฝันเห็นขนม | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นขนสัตว์ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นขนุน | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 70 , 71 , 761 , 770 , 708
ฝันเห็นขมิ้น | การงาน: ไม่ชัดเจน | ความรัก: ฝันว่าทาขมิ้น หรือเห็นขมิ้น ทำนายว่า เพศตรงข้ามจะนำโชคมาให้ อาการป่วยจะทุเลาเบาบางลง | เลขเด็ด: 25 , 26 , 251 , 256
ฝันเห็นขโมย | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 67 , 69 , 297 , 097 , 677
ฝันเห็นขลุ่ย | การงาน: ฝันเห็นเครื่องดนตรี เช่น ปี่ หรือ ไวโอลิน แต่มิได้จับต้องขึ้นมาเป่าหรือสี  ทำนายว่า จะได้รับชื่อเสียง และความสำเร็จในหน้าที่การงาน แต่มิใช่เป็นโชคลาภทางเงินทองหรือข้าวของ | ความรัก: ไม่ชัดเจน | เลขเด็ด: 88 , 78 , 76 , 688 , 765 , 386 , 877
ฝันเห็นขวด | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 23 , 24 , 463 , 234 , 263
ฝันเห็นขวดยา | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นขวดเหล้า | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 23 , 24 , 463 , 234 , 263
ฝันเห็นขวาน | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 76 , 66 , 37 , 673 , 671 , 607 , 866
ฝันเห็นของมีค่า | การงาน: ไม่ชัดเจน | ความรัก: ฝันว่าเก็บของมีค่าได้ ทำนายว่า จะมีคดีความ หรือมีเรื่องมีราวกับผู้ใหญ่หรือคนรัก และไม่ควรเสี่ยงโชค | เลขเด็ด: ไม่ระบุ
ฝันเห็นของลับ | การงาน: ฝันเห็นอวัยวะเพศหญิง ทำนายว่า จะได้รับเคราะห์หรือโชคร้ายจากการงานในหน้าที่ อาจจะมีผลต่อบุตรหลาน หรือคู่ครอง | ความรัก: ฝันเห็นอวัยวะเพศหญิง ทำนายว่า จะได้รับเคราะห์หรือโชคร้ายจากการงานในหน้าที่ อาจจะมีผลต่อบุตรหลาน หรือคู่ครอง | เลขเด็ด: ไม่ระบุ
ฝันเห็นของหาย | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นขอทาน | การงาน: ฝันเห็นขอทาน หรือกระยาจกเข้ามาขอเงิน  ทำนายว่า ผู้นั้น จะหมดเคราะห์หมดทุกข์ ที่ป่วยจะหาย ที่ปกติจะได้รับโชคลาภในทางการงานหรือหน้าที่ | ความรัก: ไม่ชัดเจน | เลขเด็ด: 29 , 19 , 69 , 229 , 219 , 619 , 119
ฝันเห็นขอนไม้ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 22 , 24 , 122 , 224 , 228
ฝันเห็นขัง | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 41 , 46 , 47 , 142 , 334 , 756
ฝันเห็นขัน | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 80 , 82 , 88 , 180 , 182 , 188
ฝันเห็นขาด | การงาน: ไม่ชัดเจน | ความรัก: หญิงชายใดฝันว่าได้สวมสายสร้อยคอ หรือสร้อยข้อมือ  ทำนายว่า จะได้พบเพศตรงข้ามที่พึงพอใจ ถ้าเป็นหญิงมีครรภ์จะได้บุตรหญิงน่ารัก ชายจะได้ลาภเป็นความสุขทางใจ หรือลาภข้าวของมีค่า | เลขเด็ด: 22 , 02 , 228 , 203 , 308
ฝันเห็นขาย | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 44 , 48 , 404 , 408 , 488
ฝันเห็นข้าว | การงาน: ไม่ชัดเจน | ความรัก: หญิงชายใดฝันเห็นสากตำน้ำพริก หรือสากตำข้าว ทำนายว่า หญิงโสดจะได้พบชายเนื้อคู่ในเครื่องแบบ ชายจะได้รับของขวัญจากเพศตรงข้าม หรือญาติข้างฝ่ายมารดา | เลขเด็ด: 16 , 06 , 116 , 160 , 616
ฝันเห็นข้าวสาร | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 64 , 66 , 20 , 609 , 664 , 669 , 660
ฝันเห็นขี่ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 19 , 39 , 119 , 139 , 309
ฝันเห็นขี้ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 19 , 39 , 119 , 139 , 309
ฝันเห็นขึ้นต้นไม้ | การงาน: ฝันว่าตนเองได้ขึ้นต้นไม้ มีอาการเหนื่อยหอบทุลักทุเลแต่ปีนไปอยู่บนต้นไม้  ทำนายว่า การงานที่คิดไว้จะเป็นผลสำเร็จ แม้จะมีอุปสรรคก็ผ่านพ้นไปได้ ถ้าฝันว่าปีนขึ้นไปแล้วตกลงมา จะได้รับความผิดหวัง หรือไม่จะได้รับเคราะห์จากอาการเจ็บป่วย | ความรัก: ไม่ชัดเจน | เลขเด็ด: 50 , 15 , 57 , 752 , 751 , 729
ฝันเห็นขึ้นบันได | การงาน: ฝันว่าเดินขึ้นบันได หรือไต่ขึ้นที่สูง  ทำนายว่า การงานที่กำลังทำอยู่จะก้าวหน้าไปในทางดี แต่จะมีศัตรูคิดร้ายหรือคอยขัดขวาง ทำให้เป็นอุปสรรคไปได้ชั่วระยะหนึ่ง | ความรัก: ไม่ชัดเจน | เลขเด็ด: 99 , 19 , 90 , 919 , 944 , 904
ฝันเห็นขื่อคา | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 20 , 08 , 09 , 208 , 209
ฝันเห็นขุด | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นเข็มเย็บผ้า | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นเขา | การงาน: ฝันเห็นภูเขา เห็นแนวยาวเหยียดข้างหน้า  ทำนายว่า งานที่คิดไว้จะมีอุปสรรค หรือเลิกล้ม หรือมีการเปลี่ยนแปลงโยกย้าย | ความรัก: ไม่ชัดเจน | เลขเด็ด: 91 , 92 , 96 , 191 , 029 , 096
ฝันเห็นเขียนหนังสือ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นแขนขา | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นโขลงช้าง | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นไข่ | การงาน: ฝันเห็นงู หรือถูกงูกัด หรือตีงูจนตายแล้วงูกลับมามีชีวิตอีกครั้ง ทำนายว่า คนโสดจะได้แต่งงาน ถ้าเป็นชายที่มีครอบครัวแล้วอาจคิดนอกลู่นอกทาง ถ้าเป็นหญิงที่มีครอบครัวแล้วจะได้ลูก | ความรัก: ไม่ชัดเจน | เลขเด็ด: 30 , 28 , 88 , 282 , 288
ฝันเห็นไข้ | การงาน: ฝันเห็นงู หรือถูกงูกัด หรือตีงูจนตายแล้วงูกลับมามีชีวิตอีกครั้ง ทำนายว่า คนโสดจะได้แต่งงาน ถ้าเป็นชายที่มีครอบครัวแล้วอาจคิดนอกลู่นอกทาง ถ้าเป็นหญิงที่มีครอบครัวแล้วจะได้ลูก | ความรัก: ไม่ชัดเจน | เลขเด็ด: 30 , 28 , 88 , 282 , 288
ฝันเห็นคนตาย | การงาน: ฝันเห็นโลงศพแต่ไม่เห็นศพ ตั้งซ้อนกัน หรือมีคนหามโลงศพผ่านมา  ทำนายว่า จะได้ข่าวดีหรือลาภทางไกล หรือเปลี่ยนแปลงหน้าที่การงานไปในทางดี | ความรัก: ไม่ชัดเจน | เลขเด็ด: 04 , 44 , 440 , 442 , 448
ฝันเห็นคนรักเก่า | การงาน: ไม่ชัดเจน | ความรัก: ฝันเห็นแฟนเก่า คนรักเก่า ทำนายว่าจะหมดเคราะห์ การที่คิดไว้จะสมหวัง หรือถ้ามีบุตร บุตรนี้จะเป็นหญิง จะได้ลาภลอยโดยที่ไม่ได้คิด หรือหวังมาก่อน | เลขเด็ด: ไม่ระบุ
ฝันเห็นครกสาก | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นคราด | การงาน: ฝันเห็นคราด, จอบ, เสียม เครื่องมือทำสวนครัว หรือฝันว่าได้จับต้อง จะได้รับผลสำเร็จจากหน้าที่การงาน หรือได้รับการเลื่อนตำแหน่งหน้าที่ การค้าขายจะทำให้ขยายกิจการออกไปได้กว้างขวาง | ความรัก: ไม่ชัดเจน | เลขเด็ด: 47 , 46 , 49 , 479 , 679 , 709
ฝันเห็นคราส | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 07 , 77 , 08 , 708 , 707 , 077
ฝันเห็นครู | การงาน: ฝันเห็นครูบาอาจารย์ ทำนายว่า จะมีความก้าวหน้าในชีวิต มีชื่อเสียง ได้เลื่อนตำแหน่ง ได้มิตรดี ผู้ใหญ่เอ็นดู | ความรัก: ไม่ชัดเจน | เลขเด็ด: 51 , 59 , 151 , 159
ฝันเห็นคลอดลูก | การงาน: ไม่ชัดเจน | ความรัก: ถ้าฝันว่าได้อุ้มลูกหมาขนปุยน่ารัก ทำนายว่า คนในบ้านต่ำอายุกว่าจะก่อความเดือดร้อนใจให้ภายหลัง | เลขเด็ด: 39 , 41 , 66 , 148 , 339 , 669
ฝันเห็นคลื่น | การงาน: ฝันเห็นคลื่นน้ำ ทำนายว่า การงานจะเกิดอุปสรรค | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นควันไฟ | การงาน: ฝันเห็นควันไฟสีขาวลอยพุ่งขึ้นไปบนอากาศหรือควันจากไฟเป็นสีมืดครึ้ม แต่ไม่มีแสงไฟ  ทำนายว่า จะต้องได้รับความเดือดเนื้อร้อนใจ หรือโยกย้ายเปลี่ยนแปลงหน้าที่การงานไปในทางไม่ดี หรือมิฉะนั้นก็จะต้องหนีออกจากบ้านเพราะมีเรื่อง | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
